@id,@lon,@lat,name,cuisine,opening_hours,addr:street,smoking,amenity
1089802360,21.6521572,42.3054433,The Club,,,,,pub
1089831789,21.6527565,42.3085843,BBC,,,,,restaurant
1115815923,20.6499767,42.0615462,Saranda,,,,,restaurant
1132688809,21.3274583,41.9953819,River Side Garden,international,,,,restaurant
1196429552,20.7383542,42.2177495,Pizzeria Furra "ALTINA",,,,,restaurant
1355330790,21.4175412,42.0011509,Кафе Кино Карпош,,,,,pub
1355336585,21.4173939,42.0008922,Сендвичара Попе,sandwich,,,,fast_food
1371716593,21.4122694,41.9979155,Топаз,,,Рузвелтова,,restaurant
1372568001,21.3989291,42.0008550,Веки,,,Варшавска,,restaurant
1377184494,21.4960141,42.0013936,Велково Меанче,,,,,restaurant
1378130151,21.4390455,41.9841333,Чешма,,,,,restaurant
1378228324,21.4455687,41.9710708,Ресторан Трпеза,,,,,restaurant
1378228333,21.4385091,41.9787578,Ресторан Кум,,,,,restaurant
1380378665,21.4078483,41.9997295,Рустикана,burger;regional;breakfast;grill;mediterranean;balkan;chicken;kebab,Mo-Su 10:00-00:00,Римска,,restaurant
1380378702,21.4159820,41.9985008,Боеми,,,,,restaurant
1381654588,21.4217901,41.9990725,Гирадико,kebab,,,,fast_food
1475328750,21.3462963,42.0464013,Restoran Tomi,regional,,,,restaurant
1475388232,21.3508185,42.0299906,Meraklii,regional,,,,restaurant
1475404531,21.3695897,42.0078102,Пинк,,,,,fast_food
1506640739,21.4700306,41.5910530,Ѕидан Мост,,,,,restaurant
1535266560,21.4820381,41.9782792,Ресторан Рагуза 919,,,,,restaurant
1547262549,21.7162124,42.1329068,Art Cafe CARIGRAD,,,Ilindenska,,pub
1577483516,21.3975417,42.0035286,Старо Буре,international,,,,restaurant
1577485951,21.3741187,42.0065185,62,regional,,,,restaurant
1596475596,22.0228438,41.4334495,Винска Куќа,regional,,,,restaurant
1634933708,21.7753509,41.7170862,Снупи,,,,,restaurant
1660208191,21.3528594,41.0364490,Аражок,,,,,restaurant
1660208193,21.3539109,41.0364490,Балукс,,,,,restaurant
1671178771,22.6856820,42.2845609,Friends,,,,,restaurant
